instance,class,method,n_customers,service_rate_raw,service_rate_feasible,n_served_raw,n_served_feasible,makespan
R206,R,CWS,100,1.0,0.36,100.0,36.0,1348.25569429266
R206,R,ALNS,100,1.0,1.0,100.0,100.0,921.284317622259
R206,R,AM,100,1.0,1.0,100.0,100.0,781.4429962593528
R206,R,POMO,100,1.0,1.0,100.0,100.0,782.2110497848557
R206,R,TD-Split,100,1.0,1.0,100.0,100.0,770.9762068131463
R206,R,GAT-MARL,100,1.0,1.0,100.0,100.0,782.6607
R207,R,NNH,100,1.0,1.0,100.0,100.0,782.122784090785
R207,R,CWS,100,1.0,0.47,100.0,47.0,1348.25569429266
R207,R,ALNS,100,1.0,1.0,100.0,100.0,877.1899476461836
R207,R,AM,100,1.0,1.0,100.0,100.0,781.1133699616217
R207,R,POMO,100,1.0,1.0,100.0,100.0,781.1133699616217
R207,R,TD-Split,100,1.0,1.0,100.0,100.0,771.2675824985181
R207,R,GAT-MARL,100,1.0,1.0,100.0,100.0,865.6725
R208,R,NNH,100,1.0,1.0,100.0,100.0,781.3158323979594
R208,R,CWS,100,1.0,0.56,100.0,56.0,1314.1075959257143
R208,R,ALNS,100,1.0,1.0,100.0,100.0,871.7853329408188
R208,R,AM,100,1.0,1.0,100.0,100.0,781.1650959602877
R208,R,POMO,100,1.0,1.0,100.0,100.0,781.3158323979594
R208,R,TD-Split,100,1.0,1.0,100.0,100.0,770.9611063469305
R208,R,GAT-MARL,100,1.0,1.0,100.0,100.0,891.3055
R209,R,NNH,100,1.0,1.0,100.0,100.0,715.3232521736005
R209,R,CWS,100,1.0,0.26,100.0,26.0,1254.0443503725112
R209,R,ALNS,100,1.0,1.0,100.0,100.0,724.7298894810544
R209,R,AM,100,1.0,1.0,100.0,100.0,715.6434849086197
R209,R,POMO,100,1.0,1.0,100.0,100.0,715.3232521736005
R209,R,TD-Split,100,1.0,1.0,100.0,100.0,704.5560575509783
R209,R,GAT-MARL,100,1.0,1.0,100.0,100.0,759.7033
R210,R,NNH,100,1.0,1.0,100.0,100.0,896.4951897470158
R210,R,CWS,100,1.0,0.28,100.0,28.0,1410.107595925714
R210,R,ALNS,100,1.0,1.0,100.0,100.0,887.3482920249788
R210,R,AM,100,1.0,1.0,100.0,100.0,885.336923546488
R210,R,POMO,100,1.0,1.0,100.0,100.0,896.4951897470158
R210,R,TD-Split,100,1.0,1.0,100.0,100.0,885.8437323981758
R210,R,GAT-MARL,100,1.0,1.0,100.0,100.0,864.1811
R211,R,NNH,100,1.0,1.0,100.0,100.0,520.2351242233865
R211,R,CWS,100,1.0,0.49,100.0,49.0,1111.4236612054135
R211,R,ALNS,100,1.0,1.0,100.0,100.0,754.9261129764803
R211,R,AM,100,1.0,1.0,100.0,100.0,520.3309131639064
R211,R,POMO,100,1.0,1.0,100.0,100.0,520.2351242233865
R211,R,TD-Split,100,1.0,1.0,100.0,100.0,509.8803981723576
R211,R,GAT-MARL,100,1.0,1.0,100.0,100.0,584.9287
RC101,RC,NNH,100,0.83,0.83,83.0,83.0,212.7192218371409
RC101,RC,CWS,100,1.0,0.29,100.0,29.0,265.17167273272173
RC101,RC,ALNS,100,0.83,0.83,83.0,83.0,205.6919200779227
RC101,RC,AM,100,0.83,0.83,83.0,83.0,212.7192218371409
RC101,RC,POMO,100,0.83,0.83,83.0,83.0,212.7192218371409
RC101,RC,TD-Split,100,0.83,0.83,83.0,83.0,212.7192218371409
RC101,RC,GAT-MARL,100,0.93,0.93,93.0,93.0,202.0
RC102,RC,NNH,100,0.9,0.9,90.0,90.0,212.7192218371409
RC102,RC,CWS,100,1.0,0.46,100.0,46.0,265.17167273272173
RC102,RC,ALNS,100,0.9,0.9,90.0,90.0,216.1469649007741
RC102,RC,AM,100,0.9,0.9,90.0,90.0,212.7192218371409
RC102,RC,POMO,100,0.9,0.9,90.0,90.0,212.7192218371409
RC102,RC,TD-Split,100,0.9,0.9,90.0,90.0,212.7192218371409
RC102,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,202.1523
RC103,RC,NNH,100,1.0,1.0,100.0,100.0,212.7192218371409
RC103,RC,CWS,100,1.0,0.64,100.0,64.0,265.17167273272173
RC103,RC,ALNS,100,1.0,1.0,100.0,100.0,202.1523154621173
RC103,RC,AM,100,0.99,0.99,99.0,99.0,212.7192218371409
RC103,RC,POMO,100,0.99,0.99,99.0,99.0,212.7192218371409
RC103,RC,TD-Split,100,1.0,1.0,100.0,100.0,212.7192218371409
RC103,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,216.3751
RC104,RC,NNH,100,1.0,1.0,100.0,100.0,201.11173853572652
RC104,RC,CWS,100,1.0,0.85,100.0,85.0,225.92042106391315
RC104,RC,ALNS,100,1.0,1.0,100.0,100.0,208.33665095982823
RC104,RC,AM,100,1.0,1.0,100.0,100.0,201.0648776575865
RC104,RC,POMO,100,1.0,1.0,100.0,100.0,201.0648776575865
RC104,RC,TD-Split,100,1.0,1.0,100.0,100.0,201.11173853572652
RC104,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,195.8837
RC105,RC,NNH,100,0.9,0.9,90.0,90.0,210.7192218371409
RC105,RC,CWS,100,1.0,0.43,100.0,43.0,266.17167273272173
RC105,RC,ALNS,100,0.9,0.9,90.0,90.0,210.38470768123344
RC105,RC,AM,100,0.9,0.9,90.0,90.0,210.7192218371409
RC105,RC,POMO,100,0.88,0.88,88.0,88.0,210.7192218371409
RC105,RC,TD-Split,100,0.9,0.9,90.0,90.0,210.7192218371409
RC105,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,210.3847
RC106,RC,NNH,100,1.0,1.0,100.0,100.0,193.8522232124083
RC106,RC,CWS,100,1.0,0.49,100.0,49.0,250.17167273272173
RC106,RC,ALNS,100,1.0,1.0,100.0,100.0,187.0587693292369
RC106,RC,AM,100,1.0,1.0,100.0,100.0,193.8522232124083
RC106,RC,POMO,100,1.0,1.0,100.0,100.0,193.8522232124083
RC106,RC,TD-Split,100,1.0,1.0,100.0,100.0,193.8522232124083
RC106,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,176.9989
RC107,RC,NNH,100,1.0,1.0,100.0,100.0,192.80339154105295
RC107,RC,CWS,100,1.0,0.66,100.0,66.0,224.17167273272173
RC107,RC,ALNS,100,1.0,1.0,100.0,100.0,198.68870455711783
RC107,RC,AM,100,1.0,1.0,100.0,100.0,192.80339154105295
RC107,RC,POMO,100,1.0,1.0,100.0,100.0,192.80339154105295
RC107,RC,TD-Split,100,1.0,1.0,100.0,100.0,192.80339154105295
RC107,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,179.5437
RC108,RC,NNH,100,1.0,1.0,100.0,100.0,149.9208002725857
RC108,RC,CWS,100,1.0,0.84,100.0,84.0,229.17167273272173
RC108,RC,ALNS,100,1.0,1.0,100.0,100.0,187.97875877436925
RC108,RC,AM,100,1.0,1.0,100.0,100.0,149.98662103467427
RC108,RC,POMO,100,1.0,1.0,100.0,100.0,149.76638204291595
RC108,RC,TD-Split,100,1.0,1.0,100.0,100.0,149.9208002725857
RC108,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,188.0389
RC201,RC,NNH,100,0.9,0.9,90.0,90.0,854.2771038089198
RC201,RC,CWS,100,1.0,0.14,100.0,14.0,1229.743998156111
RC201,RC,ALNS,100,0.9,0.9,90.0,90.0,844.1596669335
RC201,RC,AM,100,0.9,0.9,90.0,90.0,854.2771038089198
RC201,RC,POMO,100,0.89,0.89,89.0,89.0,854.2771038089198
RC201,RC,TD-Split,100,0.9,0.9,90.0,90.0,854.2771038089198
RC201,RC,GAT-MARL,100,0.99,0.99,99.0,99.0,832.0
RC202,RC,NNH,100,0.93,0.93,93.0,93.0,864.2796158105624
RC202,RC,CWS,100,1.0,0.27,100.0,27.0,1229.743998156111
RC202,RC,ALNS,100,0.93,0.93,93.0,93.0,844.5328862205208
RC202,RC,AM,100,0.95,0.95,95.0,95.0,864.2796158105624
RC202,RC,POMO,100,0.92,0.92,92.0,92.0,864.2796158105624
RC202,RC,TD-Split,100,0.93,0.93,93.0,93.0,864.2796158105624
RC202,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,864.3662
RC203,RC,NNH,100,1.0,1.0,100.0,100.0,864.0400856987193
RC203,RC,CWS,100,1.0,0.39,100.0,39.0,1192.88792241167
RC203,RC,ALNS,100,1.0,1.0,100.0,100.0,872.9256156037599
RC203,RC,AM,100,1.0,1.0,100.0,100.0,864.0295696726315
RC203,RC,POMO,100,1.0,1.0,100.0,100.0,864.0400856987193
RC203,RC,TD-Split,100,1.0,1.0,100.0,100.0,863.9513222985948
RC203,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,855.1583
RC204,RC,NNH,100,1.0,1.0,100.0,100.0,852.8466013429452
RC204,RC,CWS,100,1.0,0.71,100.0,71.0,1058.1182949170125
RC204,RC,ALNS,100,1.0,1.0,100.0,100.0,873.4948265406034
RC204,RC,AM,100,1.0,1.0,100.0,100.0,852.8125387482419
RC204,RC,POMO,100,1.0,1.0,100.0,100.0,852.8466013429452
RC204,RC,TD-Split,100,1.0,1.0,100.0,100.0,852.8466013429452
RC204,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,934.0682
RC205,RC,NNH,100,0.9,0.9,90.0,90.0,902.836146027468
RC205,RC,CWS,100,1.0,0.18,100.0,18.0,1173.88792241167
RC205,RC,ALNS,100,0.9,0.9,90.0,90.0,904.1596669335
RC205,RC,AM,100,0.93,0.93,93.0,93.0,902.836146027468
RC205,RC,POMO,100,0.93,0.93,93.0,93.0,902.836146027468
RC205,RC,TD-Split,100,0.9,0.9,90.0,90.0,902.836146027468
RC205,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,890.8569
RC206,RC,NNH,100,1.0,1.0,100.0,100.0,745.8289241080254
RC206,RC,CWS,100,1.0,0.2,100.0,20.0,1169.743998156111
RC206,RC,ALNS,100,1.0,1.0,100.0,100.0,823.3344393036506
RC206,RC,AM,100,1.0,1.0,100.0,100.0,745.8289241080254
RC206,RC,POMO,100,1.0,1.0,100.0,100.0,745.8289241080254
RC206,RC,TD-Split,100,1.0,1.0,100.0,100.0,745.8289241080254
RC206,RC,GAT-MARL,100,1.0,1.0,100.0,100.0,712.1523
RC207,RC,NNH,100,1.0,1.0,100.0,100.0,694.1859046961366
RC207,RC,CWS,100,1.0,0.31,100.0,31.0,1081.743998156111
RC207,RC,ALNS,100,1.0,1.0,100.0,100.0,708.7023068871792
RC207,RC,AM,100,1.0,1.0,100.0,100.0,694.1859046961366
RC207,RC,POMO,100,1.0,1.0,100.0,100.0,694.1859046961366
