instance,class,n_customers,n_vehicles,bks_distance,method,makespan,total_co2_kg,total_distance,service_rate,n_served,workload_balance,battery_used_pct,runtime_s,gap_to_bks_pct
R106,R1,100,25,1252.0,AM,200.7468,176.3518,2059.9135,0.9,90.0,34.1639,0.0,0.0111,-83.9659
R106,R1,100,25,1252.0,POMO,200.7468,171.2389,2007.774,0.9,90.0,37.1506,0.0,0.0706,-83.9659
R106,R1,100,25,1252.0,TD-Split,200.7468,170.8937,3400.3686,1.0,100.0,72.8841,40.7477,0.0044,-83.9659
R106,R1,100,25,1252.0,GAT-MARL,201.7108,344.762,3926.7981,1.0,100.0,76.8416,0.0,3460.4249,-83.8889
R107,R1,100,25,1104.7,NNH,200.8164,200.12,2328.8245,1.0,100.0,42.5875,0.0,0.004,-81.8216
R107,R1,100,25,1104.7,CWS,330.6881,87.4515,886.8278,1.0,100.0,41.7083,0.0,0.004,-70.0653
R107,R1,100,25,1104.7,ALNS,215.6907,101.0718,1039.0309,1.0,100.0,83.5213,0.0,3.0784,-80.4752
R107,R1,100,25,1104.7,AM,200.6433,203.3352,2369.9859,1.0,100.0,45.5548,0.0,0.0082,-81.8373
R107,R1,100,25,1104.7,POMO,200.6433,189.8971,2216.044,0.98,98.0,44.0005,0.0,0.0581,-81.8373
R107,R1,100,25,1104.7,TD-Split,200.7551,162.4224,3300.8178,1.0,100.0,72.1037,40.7477,0.002,-81.8272
R107,R1,100,25,1104.7,GAT-MARL,211.2042,330.2241,3716.9363,1.0,100.0,75.5127,0.0,1126.3256,-80.8813
R108,R1,100,25,960.9,NNH,200.7551,194.3927,2270.9459,1.0,100.0,53.8318,0.0,0.003,-79.1076
R108,R1,100,25,960.9,CWS,247.6582,87.4515,886.8278,1.0,100.0,34.0804,0.0,0.004,-74.2264
R108,R1,100,25,960.9,ALNS,206.8334,91.8779,935.7705,1.0,100.0,82.5248,0.0,3.6957,-78.475
R108,R1,100,25,960.9,AM,200.6433,193.9077,2261.0805,1.0,100.0,54.0331,0.0,0.008,-79.1192
R108,R1,100,25,960.9,POMO,200.6433,193.2534,2253.6186,1.0,100.0,54.0365,0.0,0.0621,-79.1192
R108,R1,100,25,960.9,TD-Split,200.7551,165.4217,3339.1665,1.0,100.0,61.6295,40.7477,0.0019,-79.1076
R108,R1,100,25,960.9,GAT-MARL,198.3732,326.2074,3656.8554,1.0,100.0,65.9414,0.0,264.243,-79.3555
R109,R1,100,25,1194.7,NNH,178.0561,218.7398,2554.2104,1.0,100.0,23.6852,0.0,0.004,-85.0962
R109,R1,100,25,1194.7,CWS,285.6881,87.4515,886.8278,1.0,100.0,27.0516,0.0,0.01,-76.087
R109,R1,100,25,1194.7,ALNS,184.2525,107.1586,1116.6955,1.0,100.0,77.3584,0.0,2.9417,-84.5775
R109,R1,100,25,1194.7,AM,178.0561,211.4201,2468.729,1.0,100.0,27.9218,0.0,0.0074,-85.0962
R109,R1,100,25,1194.7,POMO,178.0561,211.4201,2468.729,1.0,100.0,27.9218,0.0,0.0566,-85.0962
